	Phenotype	Top 5 Latent Factor Indices (ordered by variance component)	Top 1 Variance Component	Top 3 Variance Component	Top 5 Variance Component
0	breast cysts	23, 49, 71, 78, 38	13.60%	28.55%	39.17%
1	bone disorder	23, 79, 72, 49, 45	14.26%	34.15%	46.28%
2	anxiety/panic attacks	23, 72, 79, 49, 64	9.32%	24.74%	35.26%
3	connective tissue disorder	23, 78, 72, 74, 39	8.98%	19.43%	28.36%
4	housemaid's knee (prepatellar bursitis)	23, 49, 78, 71, 27	11.78%	25.88%	36.99%
5	svt/supraventricular tachycardia	49, 23, 78, 20, 95	10.51%	27.88%	39.39%
6	angina	10, 64, 83, 71, 45	22.74%	41.19%	56.78%
7	anal fissure	39, 78, 11, 99, 23	9.23%	21.35%	31.69%
8	Severe depression	11, 20, 51, 38, 78	18.06%	40.49%	51.16%
9	leukaemia	31, 23, 78, 18, 49	10.23%	26.41%	37.55%
10	testicular cancer	79, 72, 82, 13, 25	12.81%	32.06%	40.84%
11	prostate cancer	27, 92, 8, 73, 51	23.49%	44.95%	57.77%
12	lymphoma	23, 51, 20, 97, 78	10.85%	26.34%	36.69%
13	cervical cancer	23, 71, 39, 78, 98	9.22%	21.79%	32.22%
14	uterine/endometrial cancer	27, 72, 23, 89, 67	8.73%	23.43%	35.13%
15	vulval cancer	23, 78, 22, 49, 66	15.07%	30.46%	40.06%
16	psychological/psychiatric problem	23, 78, 79, 71, 49	14.16%	25.19%	33.96%
17	bronchiectasis	23, 79, 78, 49, 77	9.23%	23.88%	34.05%
18	cataract	92, 20, 1, 59, 86	11.18%	27.19%	37.13%
19	mrsa/methicillin resistant staphylococcus aureus	89, 18, 23, 32, 78	15.77%	31.60%	41.89%
20	gastrointestinal bleeding	23, 78, 77, 11, 22	11.60%	25.45%	33.92%
21	iritis	23, 79, 49, 78, 22	15.45%	32.82%	42.48%
22	mitral valve disease	23, 79, 49, 78, 72	12.79%	27.64%	38.32%
23	osteoporosis	92, 64, 79, 80, 20	20.31%	34.66%	42.81%
24	ankylosing spondylitis	23, 49, 78, 1, 67	12.28%	24.88%	33.62%
25	ectopic pregnancy	89, 82, 79, 8, 49	14.88%	31.50%	40.77%
26	scoliosis	8, 79, 23, 49, 89	11.97%	33.01%	44.71%
27	bowel/intestinal obstruction	72, 79, 94, 23, 27	11.56%	27.09%	37.71%
28	eye/eyelid problem	23, 49, 78, 39, 1	10.79%	24.28%	34.17%
29	ovarian cyst or cysts	23, 79, 89, 78, 8	13.07%	28.29%	37.66%
30	nephritis	23, 78, 89, 71, 49	12.59%	28.04%	41.60%
31	low platelets/platelet disorder	23, 79, 49, 78, 81	13.47%	27.70%	38.29%
32	renal failure not requiring dialysis	23, 39, 49, 79, 77	10.68%	23.12%	34.28%
33	liver failure/cirrhosis	79, 23, 8, 49, 78	13.04%	30.83%	40.40%
34	acute infective polyneuritis/guillain-barre syndrome	23, 49, 78, 39, 79	12.68%	28.40%	40.43%
35	meniere's disease	23, 78, 49, 89, 80	15.00%	30.41%	38.85%
36	leg claudication/ intermittent claudication	23, 8, 71, 49, 79	10.05%	20.14%	28.65%
37	subarachnoid haemorrhage	23, 27, 79, 78, 49	10.98%	26.56%	37.48%
38	uterine polyps	79, 23, 8, 72, 49	12.68%	27.68%	37.68%
39	femoral hernia	89, 23, 78, 27, 73	13.00%	30.65%	40.71%
40	fracture toe	23, 78, 79, 49, 71	14.52%	30.42%	42.55%
41	trigemminal neuralgia	23, 71, 1, 78, 27	10.78%	26.84%	39.11%
42	pancreatitis	68, 23, 78, 39, 1	55.91%	65.45%	70.45%
43	mitral regurgitation/incompetence	23, 30, 49, 78, 0	20.60%	31.61%	40.17%
44	bladder problem (not cancer)	23, 8, 82, 49, 77	8.03%	22.53%	35.08%
45	fracture shoulder/scapula	23, 49, 78, 79, 89	14.84%	31.15%	42.86%
