Phenotype,GUIDE Lat0_Contrib,GUIDE Lat0_LogW,GUIDE Lat0_Cos,GUIDE Lat1_Contrib,GUIDE Lat1_LogW,GUIDE Lat1_Cos,GUIDE Lat2_Contrib,GUIDE Lat2_LogW,GUIDE Lat2_Cos,GUIDE Lat3_Contrib,GUIDE Lat3_LogW,GUIDE Lat3_Cos,GUIDE Lat4_Contrib,GUIDE Lat4_LogW,GUIDE Lat4_Cos,GUIDE Lat5_Contrib,GUIDE Lat5_LogW,GUIDE Lat5_Cos,GUIDE Lat6_Contrib,GUIDE Lat6_LogW,GUIDE Lat6_Cos,GUIDE Lat7_Contrib,GUIDE Lat7_LogW,GUIDE Lat7_Cos,GUIDE Lat8_Contrib,GUIDE Lat8_LogW,GUIDE Lat8_Cos,GUIDE Lat9_Contrib,GUIDE Lat9_LogW,GUIDE Lat9_Cos,Max_Contrib,Top_Latent,Max_LogW,Num_Significant
breast cysts,4.166199365608575e-05,0.022769736229213015,0.025291995863457793,6.722578266252972e-05,0.02912198993864528,0.04448918116017712,1.8936796735412187e-06,0.0047584146474869225,0.0012538151685528736,3.3208800885052522e-06,0.006312494183441417,0.004992133424525314,6.454421450320342e-07,0.002771753172168969,0.0013553523203079646,3.8071320554298915e-07,0.0021271824445975897,0.0024868265933583418,6.655036221738036e-07,0.0028146369399228337,0.0008663307234925704,5.886035173156642e-07,0.0026465199207763653,0.0038397865252346747,4.173856239695055e-06,0.007083068558310013,0.002632284910656845,3.1133572994277716e-08,0.0006072438649583161,4.456335465401593e-05,8.053812768144024e-05,GUIDE Lat38,0.0319719230999435,0
bone disorder,1.7757909991537645e-05,0.014735451188236175,0.012938120973521655,1.0510128267333193e-06,0.003540060975534023,0.0008347623733242102,1.0162009651964508e-06,0.0034807043986592578,0.000807500702128752,2.5259244532807824e-06,0.005500282150016029,0.004557111458850594,3.4420042392448286e-07,0.002022364154324693,0.0008674462784707078,1.2018314504764228e-06,0.0037866098393569796,0.00942166004992322,1.4706168851703866e-07,0.001320852388370429,0.00022975720769916982,3.755924457811252e-06,0.006716316758838745,0.029406096599202274,3.827871752987496e-05,0.02180273838337115,0.028972708048248804,5.9537815052616764e-08,0.0008399650745920713,0.00010227702993252321,0.00010863034707495391,GUIDE Lat72,0.037341849784601734,0
anxiety/panic attacks,4.058912493828335e-05,0.022467276564860875,0.021703007123857487,1.2300225771533102e-05,0.01222970483810445,0.007169663932545517,6.371552057212334e-07,0.0027538458422630956,0.0003715689443885768,3.442864399521634e-07,0.002022617420435677,0.00045584802630393474,2.685722871211219e-07,0.0017859391686451181,0.0004967332736666802,1.545486245236842e-06,0.004296486772081688,0.008891599174210738,1.3903351384762559e-07,0.0012842394903514384,0.0001594116153980128,3.958803283902655e-06,0.006896730470916415,0.022746538686188863,6.857321680133013e-05,0.02942179334678744,0.038090537528357955,3.6164212568109526e-06,0.006589462134256964,0.004559267732057861,0.00012737131298960465,GUIDE Lat72,0.04057094067275978,0
connective tissue disorder,7.7317099416219e-05,0.03130389706397574,0.03344134317375598,6.862924015654112e-05,0.029434198480410984,0.032358832345699674,4.6749044781939394e-07,0.0023577987870847627,0.00022052856396974574,5.811097238656492e-07,0.00262956794760905,0.0006223808747028907,1.2065777042043952e-06,0.0037941119128002505,0.0018051582714388556,1.6007702693659788e-06,0.004373037841636223,0.007449749632843768,3.146268618891767e-07,0.0019333357649012916,0.00029180598660639485,2.5603065693451743e-06,0.0055378254822642334,0.011899844978594629,2.5678048698673587e-05,0.017778911383750658,0.01153778738995478,2.1623189566327643e-06,0.005086637846607616,0.0022051278456278454,0.00010644601358097318,GUIDE Lat39,0.03694935048272931,0
housemaid's knee (prepatellar bursitis),1.4332880728757188e-05,0.013216080898305988,0.01098573396201184,8.036760899355056e-06,0.00985938330039507,0.006715094523968733,8.640746480865336e-08,0.001012106619802815,7.22321933064562e-05,3.1952139105684296e-07,0.0019483493083937364,0.0006064366853451411,2.239057312492416e-06,0.0051766394651294725,0.005936256130164617,1.1644043247725794e-06,0.003726929238330281,0.009602933218425237,1.700545240185392e-06,0.004507953922069255,0.002794949852336695,2.09395565998137e-06,0.005005119844854459,0.017246629965700134,2.7064169103522756e-07,0.0017928206111163894,0.0002154977018851896,9.095382378964837e-07,0.003292262626608207,0.0016436994534411013,7.482853911856469e-05,GUIDE Lat27,0.03077884515803506,0
svt/supraventricular tachycardia,1.220211164798585e-07,0.0012029935086468374,8.21699853148382e-05,5.2049441138191674e-06,0.007917158567886315,0.0038209361235014643,3.8764431345503396e-07,0.002146505884695345,0.0002847053189174572,4.0716713211023825e-06,0.00699513220173393,0.006789548020328082,6.141168279167438e-06,0.00860644473538926,0.014304775390835151,9.933317188883073e-07,0.0034411603253355445,0.007197422986487867,1.7311906817119198e-06,0.0045486015967074215,0.002499846602423128,1.6356788202052248e-06,0.004420702536759343,0.011836339643079383,1.7052124901158066e-05,0.014434849500197565,0.011929138310903005,1.9947520978041602e-07,0.0015387124908767958,0.0003167181875467406,0.0001134988269213243,GUIDE Lat20,0.03820379640517526,0
angina,1.2112244579678015e-06,0.0038014425559775526,7.033953135195619e-06,0.0007449243985610345,0.10433195086040888,0.004715877651694865,0.0028320759231904697,0.22393726028738697,0.017937572889757076,2.944228442900869e-05,0.01906433479640394,0.0004233857909859646,5.916173815342681e-07,0.0026533074257029704,1.1884135465895114e-05,8.286933046032799e-06,0.01001338916087189,0.0005178132709405215,2.9059302482857932e-05,0.018937303190709888,0.0003618680694070206,7.703147713289261e-06,0.009650316114017664,0.0004807111969281823,0.007688157862604437,0.4165075339050183,0.04638200141403765,1.4587334862394088e-05,0.013334634299576762,0.0001997361384199499,0.018722837442304983,GUIDE Lat64,0.763396552407392,0
anal fissure,4.0475749403228614e-07,0.0021934926200069247,0.00014279185506182768,3.248225924991635e-05,0.020045863280546833,0.012491950575276797,5.87123321700178e-07,0.0026431800571139774,0.0002259029058729672,1.786514704131346e-05,0.014780615240885227,0.01560648390061407,2.476400770571177e-08,0.0005415347322807819,3.0219084139379315e-05,3.059277200247363e-06,0.006057008819792132,0.011612664404244548,6.317238878355853e-08,0.0008652488770342117,4.778879457730478e-05,7.785143110364077e-06,0.00970210453005216,0.029513200706473786,4.745791249476411e-07,0.0023756560081299475,0.00017392800781154617,2.8082827203791526e-06,0.0058015431251011995,0.0023359052516703444,0.000274673427351116,GUIDE Lat39,0.0608105476254424,0
Severe depression,0.00016371324690208364,0.04626651826194658,0.034845247170738974,5.852624416573121e-07,0.002638975286917808,0.00013579565496461146,1.309901926672369e-06,0.0039539479976512274,0.00030407621931921705,8.291448636461762e-06,0.010016147920988308,0.004369986332087108,1.2071467090244314e-06,0.003795010316506924,0.0008887336260715199,3.9062025758863413e-07,0.0021547498215524585,0.0008945796154240302,2.6916996915490397e-07,0.0017879293595829057,0.00012285039906215266,1.7478038182941168e-06,0.004570488241797341,0.003997547059127351,1.3534435592183362e-05,0.012837284717779805,0.002992624528958459,2.105675998560282e-06,0.0050191878718384144,0.0010567132000957465,0.0007530089338309609,GUIDE Lat20,0.1049552588970335,0
leukaemia,1.2735904321087618e-06,0.0038985134421419235,0.0006500719113662692,5.251360210882507e-05,0.025643133123791836,0.029219912723073088,1.9230393075783525e-05,0.015344546136647822,0.010705420318215655,3.6003301039730234e-08,0.0006530443477323134,4.550549800739274e-05,1.3229006397004191e-06,0.003973606882118449,0.0023356656301135683,1.6869665457870456e-07,0.001414830975988836,0.0009264939586514611,8.066313317793179e-06,0.009877696661045592,0.008828703663019495,2.1671402018374623e-06,0.005092338395083015,0.011886658772977185,7.579697284751056e-05,0.030984125928679315,0.040191649349934085,1.0608044000241608e-07,0.0011215608902332864,0.00012766527467240315,0.00010075450753572387,GUIDE Lat31,0.03590883145111795,0
testicular cancer,4.1849163239701157e-07,0.002230491152561263,6.9537537287602e-05,3.5952200795671412e-09,0.00020625815355065065,6.512286511785334e-07,0.00012250378020798352,0.03975449112797002,0.022200664088087477,1.1773808930863208e-05,0.011961569723271111,0.004844393881753909,4.722663898901557e-09,0.000236405169470939,2.714384683379356e-06,5.745580396368504e-07,0.0026146579205246568,0.0010272376794531,2.3157405090361806e-06,0.0052650663279021565,0.0008251115358343221,2.5879784050903153e-06,0.005567861141012689,0.004620982764711702,5.739291552775948e-05,0.02684254932492797,0.009907022930737199,2.8787861943417602e-08,0.0005839043470291318,1.1278407871379216e-05,0.000530392189996073,GUIDE Lat72,0.08662094652518496,0
prostate cancer,0.0020100540081697876,0.18297439815867994,0.02713204096037713,0.0025831994547581127,0.21202214264624872,0.03801090146493832,0.0001424381193974617,0.04301180126459084,0.0020969347502386815,3.1106818271016575e-05,0.01960747051313428,0.0010397292592500666,8.089816499213854e-06,0.009892237960043475,0.00037771587499105534,1.6275083619543876e-06,0.004409591954208172,0.0002363755074035841,4.9020456730974204e-06,0.007681296565675672,0.00014188690972376778,5.470776529830961e-07,0.0025511787977664504,7.93532806236616e-05,0.004992707540183873,0.31642810896264995,0.07001050629509124,9.982323318498179e-07,0.0034496718688389228,3.176963517093187e-05,0.01837854841928246,GUIDE Lat27,0.7533474320479598,0
